id_port,nama_nms,nama_lokasi,id_merk,nama_ne,rack,shelf,slot,port,board,user,frekuensi,deskripsi
1,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,0,10,,11LTX,IN,192.1,1(IN/OUT_100G JTN_CKA 192.100 ( 100 G yang Ke 1 ))
2,SBCS,JATINEGARA,2,163_SBCS_JTN_00,0,0,10,1,11LTX,METRO,192.1,METRO JTN 9/2/3 - CKA 9/2/6/)
3,SBCS,JATINEGARA,2,163_SBCS_JTN_00,0,0,10,2,11LTX,BRAS,192.1,BRAS CKA - JTN - KEBAYORAN DIRECT CORE)
4,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,0,10,3,11LTX,TERA,192.1,TERA JTN-CKA3_TE 0/3/5/0_TE 0/6/0/11)
5,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,0,10,4,11LTX,METRO,192.1,METRO JTN 9/2/4 - CKA 10/1/2/ CO TO NSN 192.200 #1)
6,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,0,10,5,11LTX,IDLE,192.1,IDLE/RUSAK)
7,SBCS,JATINEGARA,2,163_SBCS_JTN_00,0,0,10,6,11LTX,TSEL,192.1,TSEL 10G PG [DLD] - BUARAN)
8,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,0,10,7,11LTX,TERA,192.1,Tera_JTN (1/14/0/1) - PGC (0/1/0/0))
9,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,0,10,8,11LTX,TERA,192.1,Tera_JTN (0/9/0/1) - PGC (0/5/0/10))
10,SBCS,JATINEGARA,2,163_SBCS_JTN_00,0,1,10,9,11LTX,IPTV,192.1,SW6-IPTV#2/4 TO PE2-D2-CKA 0/1/0)
11,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,1,2,10,11LTX,TERA,192.2,"TERA_SINDIKOM_PE4/2/25/PVN_B08-01-47,48)"
12,SBCS,JATINEGARA,2,163_SBCS_JTN_00,0,1,2,,11LTX,IN,192.2,1(IN/OUT_192.200_JTN_CKA_Shelf#2_Slot#9)
13,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,1,2,1,11LTX,METRO,192.2,METRO JTN 10/2/5 - CKA 10/1/1)
14,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,1,2,2,11LTX,TERA,192.2,TERA JTN(0/9/0/13) - PGC(0/5/0/13) 192.300#8)
15,SBCS,JATINEGARA,2,163_SBCS_JTN_00,0,1,2,3,11LTX,TIXNET,192.2,TIXNET BTC-TBS PT 3Rd NSN JTN 192.700#1)
16,SBCS,JATINEGARA,2,163_SBCS_JTN_00,0,1,2,4,11LTX,TIXNET,192.2,TIXNET BTC-TBS PT 3Rd JTN 193.100#2)
17,SBCS,JATINEGARA,2,163_SBCS_JTN_00,0,1,2,5,11LTX,TIXNET,192.2,TIXNET BTC-TBS PT 3Rd JTN 193.100#3)
18,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,1,2,6,11LTX,METRO,192.2,METRO_JTN 7/1/4_CKA 1/1/4)
19,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,1,2,7,11LTX,TERA,192.2,TERA JTN(0/9/0/12) - PGC(0/5/0/12) 192.300#7)
20,SBCS,JATINEGARA,2,163_SBCS_JTN_00,0,1,2,8,11LTX,TSEL,192.2,10(PORT#08_TELKOMSEL_PGC_L.DAUN-JTN_BUARAN: PGC-CKA 192.2#02)
21,SBCS,JATINEGARA,2,163_SBCS_JTN_00,0,1,2,9,11LTX,METRO,192.2,11(PORT#09_METRO JTN 7/2/3 - CKA 9/1/4)
22,SBCS,JATINEGARA,2,163_SBCS_JTN_00,0,1,10,10,11LTX,TELIN,193.1,12([P10] SDH TELIN 1 STM64 JTN-DMI)
23,SBCS,JATINEGARA,1,163_SBCS_JTN_00,0,1,10,,11LTX,IN,193.1,1(IN/OUT_193.100_JTN_ANCOL_BTC)
